,gene
1,Akr1b7
2,Acta2
3,Neurod1
4,Cldn7
5,Emx1
6,Cdx2
7,Col11a1
8,Gad2
9,Hoxa5
10,Pitx2
11,Nkx2-1
12,Hoxb8
13,Smpx
14,Afp
15,Dlx1
16,En2
17,Spp1 
18,Pln
19,Myl7
20,Tagln
21,Myl1
22,Apoa1
23,TBX5
24,Krt5
25,Robo2
26,Runx2
27,Stmn2
28,Tnnt2
29,MEF2C
30,Wnt5a
