Y,X
-153.933784241393,25354.163187865
-135.356577005258,25571.920373572
-53.9938263667192,25524.9913522519
44.3226857010022,25238.0689965301
69.5906964202461,25384.622227758
67.8966850254384,25430.8998521952
43.0662040855784,26555.5395089857
57.8850671310776,26541.2349140934
72.4945615953409,26421.0720584423
122.285309609563,25311.9203510734
118.375788357176,26450.8173691672
163.949271474129,26349.4973980859
355.88347140812,24341.9267310825
372.323207692668,24367.0259280338
408.131782344747,25564.5625899488
481.044567781327,25023.2166716124
493.030890138741,25588.392869805
548.228150544858,25196.2725548193
624.411520962489,25430.3080770695
656.833886493701,25018.787947809
630.38047426047,25769.3464301437
667.45403287327,25035.5020330428
653.583637670305,25553.8909106822
676.578976039646,25483.5851674208
699.355928968873,25837.6623643078
706.416024825841,25923.7367479963
716.99934487074,25941.456868544
765.246473910317,25376.5747182752
783.650624386305,25403.7982622564
788.844166601899,25429.2859743093
819.515602631553,25790.8545240021
844.979334450928,25820.4831060188
847.005811884925,25932.489855063
867.506490869184,25484.0226578894
842.564501898154,26444.3417293154
877.551577888723,25823.2855637681
908.439855817751,25509.4631363534
904.782973772245,25804.6244507199
923.381816321203,25547.5846541837
916.507910191906,25791.1574765381
986.904915444163,25430.1164321857
1012.06141813224,25412.3490780491
1013.00834243403,25665.425323837
961.539803074007,27461.9842938785
1036.92485368369,25653.6380433824
928.87947484418,29107.3617281427
1036.89317248483,26491.3375352267
1077.96715409553,25425.0523789458
1142.26799248321,24003.1921035722
971.173870634784,28844.5708630351
973.383965228549,28867.878089857
1090.15279914814,26458.9893474984
1107.4143042222,26350.0612949029
1033.83683109282,28611.1278889385
1115.44553226169,26632.7616704015
1133.13633489785,26456.3169753757
1139.64352122119,26473.8125431189
1155.89912583239,26503.9419166395
1163.20387306452,26443.8604888139
1198.76703744228,25667.5941939278
1185.50002558872,26476.3387621688
1201.96396975399,26444.9877051421
1204.50653038694,26626.5793054454
1296.85048756162,25414.9331770781
1326.75810193567,25351.0566131076
1355.53723290248,25457.4807081836
1367.98556304801,25284.7794634077
1375.84476335451,25544.2848884865
1392.52863650064,25339.5589282707
1398.52076865219,25454.8083360609
1407.9493393548,25364.6019870209
1411.61986888141,25292.2235826246
1417.93647924043,26263.3372561096
1472.95862483208,25346.0059167859
1483.37557679338,26260.8938890974
1520.87791845469,25375.8635039131
1512.37515125463,26277.6124266373
1496.61166634723,28409.8075810158
1606.17207004401,25751.5299049181
1693.51484889373,25848.0754183772
1679.26562994445,26655.7578131032
1712.36194441292,26030.5652298983
1717.01519554883,26042.91834467
1741.66668995115,25760.0023209793
1733.74902799716,25976.2999134575
1766.39080799564,25307.7355353547
1750.47024199154,25854.2372635808
