Y,X
338,26310
449,26231
884,25842
1013,25754
1036,25920
1158,46225
1158,46329
1164,45968
1181,44164
1219,45987
1282,45984
1327,44191
1332,46022
1336,45794
1338,45973
1338,46089
1339,25772
1345,26658
1363,45930
1379,45822
1384,45937
1385,29288
1385,45638
1387,45666
1399,25917
1408,45683
1412,26870
1414,45881
1425,26848
1433,26837
1434,26778
1434,45635
1435,45778
1439,26814
1442,45715
1448,26703
1458,26702
1464,45969
1465,46006
1479,45638
1479,46125
1483,26644
1502,45587
1503,26657
1505,45789
1506,26831
1514,46063
1520,25645
1530,45718
1531,45457
1537,25915
1537,45592
1540,46079
1546,45762
1548,45970
1548,46101
1556,45478
1561,45922
1563,45617
1571,43934
1575,45505
1582,43930
1584,45886
1593,25606
1596,45792
1616,45694
1617,26708
1617,26886
1620,46048
1625,45759
1627,45500
1630,25610
1631,45623
1636,25639
1640,46067
1644,45769
1644,45941
1648,45983
1649,25598
1649,46180
1652,43791
1654,43806
1656,45877
1657,46115
1660,45625
1668,23761
1677,45875
1681,45742
1686,45549
1698,26402
1699,45936
1707,45565
1707,45614
1713,26394
1717,45700
1718,45675
1723,45508
1728,43798
1730,45719
1731,45849
1742,46163
1743,26566
1751,45578
1759,45665
1776,45505
1777,45474
1789,45642
1798,45867
1803,45592
1811,45811
1812,45743
1814,45476
1814,45617
1815,45953
1817,45922
1823,45871
1845,26051
1848,43652
1848,45470
1853,45495
1859,45591
1864,25992
1865,45501
1865,45807
1872,45886
1880,45824
1889,45849
1892,45707
1892,45742
1898,46016
1901,46029
1903,43433
1904,45855
1905,25978
1905,45876
1909,26236
1909,46002
1910,26265
1925,43583
1926,45814
1929,43751
1930,43597
1930,43619
1932,43695
1952,26205
1956,25982
1959,45921
1964,44105
1966,44163
1967,44252
1970,26054
1972,43432
1974,43967
1975,44079
1980,43636
1981,43767
1982,26630
1989,26118
1995,44247
1998,26626
1999,45944
2000,26056
2003,25697
2005,45227
2007,26762
2009,25997
2013,43987
2018,25999
2018,45822
2022,43980
2027,26623
2032,46007
2036,45809
2038,25973
2057,26427
2057,43953
2057,45958
2061,25862
2065,44600
2069,28491
2075,26275
2078,45935
2082,25646
2084,25739
2084,44041
2090,25480
2093,25954
2094,26470
2095,25442
2097,26145
2098,45932
2100,25533
2102,25983
2109,25601
2113,25419
2113,25866
2115,26244
2119,44015
2120,45844
2122,26160
2122,44497
2124,26654
2126,25746
2132,44550
2138,26245
2140,44536
2141,43796
2147,26278
2149,45833
2150,44049
2155,26509
2157,25583
2163,43933
2164,26386
2168,44677
2168,45874
2169,26265
2170,26242
2171,43264
2176,26655
2179,26349
2189,43441
2191,25847
2197,26232
2206,43898
2214,44618
2218,25919
2219,44581
2225,44730
2227,26683
2227,45849
2228,25917
2228,44813
2229,43903
2234,26673
2237,26039
2238,45122
2244,26568
2246,26049
2247,44687
2254,26068
2254,45845
2256,25908
2260,44855
2269,45175
2276,25936
2278,26399
2282,43839
2283,45915
2293,25911
2293,44773
2300,25827
2304,25963
2305,26402
2306,43838
2310,26087
2311,25862
2314,25964
2315,26525
2322,25773
2325,45978
2327,26270
2332,43447
2339,43151
2343,25946
2346,44953
2354,25983
2362,25953
2366,43459
2367,44081
2375,44659
2379,44457
2383,46017
2384,43538
2385,44661
2386,26406
2390,26467
2391,43268
2396,43087
2396,46087
2398,26128
2399,42981
2400,43909
2402,44239
2403,25881
2403,25971
2403,26349
2411,44646
2415,44526
2417,26510
2418,25935
2419,43480
2422,26461
2422,44676
2429,25831
2432,26338
2433,44643
2434,26597
2438,26268
2439,26054
2440,25965
2444,43212
2444,44686
2445,25945
2450,26078
2450,26209
2454,26239
2455,43492
2455,45927
2461,44006
2464,45973
2466,44506
2467,25910
2469,26384
2470,26035
2471,44737
2476,44766
2476,44941
2478,28686
2479,45973
2481,44853
2484,45927
2490,26268
2490,28665
2493,45016
2495,44938
2496,43087
2498,26192
2502,26280
2505,25487
2505,44950
2506,26226
2506,43545
2508,25896
2508,26381
2508,45858
2514,24643
2515,45888
2517,26185
2518,25460
2521,44025
2523,45943
2525,43546
2529,45210
2533,25874
2533,45023
2535,25514
2538,43547
2538,44030
2539,25532
2541,43645
2544,45089
2546,25550
2552,26697
2552,43548
2553,25958
2554,44030
2556,45103
2556,45804
2557,25793
2557,44873
2558,44773
2559,25726
2562,26139
2563,26126
2563,45896
2566,24315
2572,26569
2573,44597
2573,45776
2576,26477
2579,25818
2579,44815
2579,44941
2580,25883
2581,26163
2583,45017
2584,45000
2585,26738
2585,45835
2588,43943
2591,44952
2592,44898
2595,24297
2596,26082
2598,45941
2599,26043
2601,45095
2605,25997
2610,42996
2610,43943
2613,25952
2613,44581
2615,26106
2617,44510
2618,44594
2619,26057
2619,26779
2622,42935
2622,45089
2623,45017
2626,44912
2628,45150
2630,45861
2632,45768
2633,45735
2637,43498
2639,25604
2640,44744
2644,43751
2645,44528
2646,45846
2648,44744
2648,45376
2650,45362
2655,45837
2656,44497
2665,25840
2665,26135
2666,45202
2667,43648
2670,26218
2673,26070
2674,45223
2675,44672
2678,26772
2678,43480
2678,45243
2683,43643
2688,44801
2688,45708
2691,44864
2691,44875
2693,45657
2700,26028
2709,45533
2711,43435
2713,25528
2715,44495
2718,45231
2719,43435
2720,43251
2721,43639
2724,45193
2725,25767
2725,45623
2733,25972
2733,43532
2733,45560
2736,44557
2736,45711
2738,26709
2738,45342
2739,26003
2742,45146
2743,45055
2750,45433
2753,45472
2757,45628
2763,45606
2773,45564
2776,45640
2777,45228
2779,43613
2779,45691
2780,44370
2780,45423
2781,43601
2788,45284
2795,43450
2796,45486
2797,45389
2798,45494
2799,26030
2804,45204
2806,44649
2810,44372
2819,44331
2823,42704
2823,43149
2824,43287
2826,44116
2828,44661
2829,44518
2831,45396
2831,45450
2832,45534
2836,25935
2836,45340
2837,45590
2841,45022
2842,44156
2844,25514
2846,45453
2848,43565
2849,45549
2854,42695
2856,25926
2856,42796
2857,45374
2877,25969
2877,45461
2877,45475
2884,43548
2894,42861
2896,26006
2902,45531
2911,45526
2912,26011
2912,26668
2913,45697
2917,44471
2922,42963
2926,45332
2927,45411
2931,43101
2935,42916
2945,45489
2947,26452
2959,26477
2961,43148
2961,43572
2964,45332
2968,43038
2969,25922
2972,44667
2975,25983
2978,44648
2982,45285
2986,26508
2991,26014
2992,43526
2994,26492
2995,25684
3000,43266
3001,25870
3004,45331
3007,44894
3018,25823
3031,42577
3032,44681
3033,44720
3033,45516
3034,25480
3036,25783
3036,43318
3039,25998
3041,44888
3041,45303
3042,45478
3044,45665
3045,45729
3046,25696
3048,45690
3050,43217
3052,43274
3055,45369
3057,45443
3058,45360
3060,45195
3061,25770
3064,25923
3066,25441
3070,45455
3079,45272
3079,45494
3084,25417
3084,25745
3097,45230
3100,43172
3105,43134
3111,25738
3112,26017
3114,45557
3119,43458
3121,25964
3122,43400
3126,26350
3129,43504
3129,44567
3130,43376
3133,43210
3133,45302
3136,26024
3139,45346
3144,43444
3151,44585
3153,26472
3155,26274
3158,25991
3159,43922
3161,43286
3166,45394
3166,45604
3168,25648
3171,44576
3180,25557
3183,26012
3183,45288
3188,43186
3189,44708
3191,45335
3192,25618
3196,25996
3197,25602
3197,44562
3200,43255
3203,45298
3204,25719
3207,26462
3209,25737
3218,45227
3226,43268
3228,25745
3228,45623
3231,45484
3235,26208
3237,27660
3239,44698
3242,25954
3245,25524
3246,25464
3249,26515
3249,45360
3254,25492
3254,45371
3255,45513
3258,45290
3260,26191
3262,43153
3263,45639
3269,25533
3269,26494
3270,26085
3272,44644
3279,25904
3280,25964
3281,45121
3286,45388
3287,26114
3289,25940
3291,25866
3291,43149
3294,26518
3294,44523
3299,45163
3301,45645
3305,44502
3306,45326
3311,26030
3312,25517
3323,25940
3329,45282
3330,25961
3332,45332
3334,45492
3335,25623
3337,45287
3338,44808
3339,25700
3339,45565
3345,25521
3348,44428
3352,45032
3365,26083
3366,26178
3367,45692
3375,44475
3377,26185
3379,44605
3384,26076
3390,45583
3406,26097
3409,45575
3412,44739
3422,45650
3424,44385
3428,43124
3430,44722
3438,44659
3438,45210
3439,43121
3440,44953
3441,45021
3443,45077
3443,45538
3445,43011
3446,45489
3447,44450
3447,44517
3464,44894
3477,45203
3483,43082
3485,45188
3487,44529
3493,42867
3494,44446
3499,44292
3506,42974
3507,44287
3514,26171
3524,42973
3531,25961
3534,45425
3538,45395
3540,45522
3550,45129
3553,44523
3577,45390
3577,45623
3578,43033
3585,45054
3588,25950
3610,44603
3611,44594
3621,43018
3621,45413
3622,45191
3629,45056
3638,45413
3639,45614
3644,44887
3648,45190
3651,45146
3654,11253
3657,45105
3661,43000
3665,44760
3677,44743
3681,42966
3684,44894
3688,45422
3689,44877
3690,44951
3692,25911
3703,25148
3707,44793
3719,28702
3721,42979
3726,45508
3727,13211
3730,45347
3735,45321
3739,44493
3739,45283
3742,25885
3746,42465
3748,44734
3750,44847
3759,44760
3761,26909
3773,42808
3773,44211
3778,7275
3779,7256
3779,44196
3781,42449
3785,44528
3787,25826
3797,25845
3801,45361
3814,42952
3820,44660
3824,25260
3825,44336
3841,44616
3846,44496
3854,29067
3860,45211
3869,26778
3875,44890
3878,42856
3892,27484
3905,44284
3907,45203
3908,42944
3926,27161
3930,42784
3940,42928
3948,25358
3948,44327
3966,45226
3976,25053
3976,27472
3984,24572
3988,42897
3994,25044
3996,25014
4002,24564
4017,25304
4023,45208
4025,25070
4032,42604
4037,24966
4037,42812
4040,44466
4050,44468
4052,8494
4054,44372
4064,24969
4065,45211
4066,25021
4066,29078
4079,42491
4085,42566
4103,27820
