Cell Index,Gapdh,Slc1a3,Slc17a7,Snap25,Rasgrf2,Rgs4,Prox1,Plcxd2,Vxn,Pcp4,Nr4a2,Ctgf,Gad1,Gad2,Pvalb,Sst,Vip,Lamp5,Aqp4,Apod,Plp1,Cx3cr1,Pmch,Gfap,Cck,Mbp,Rprm,Enpp2,Nov,Rorb
48,6,0,0,10,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0
49,7,0,0,6,0,0,0,0,2,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
50,5,0,1,15,0,3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
51,2,0,0,5,0,0,0,0,4,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
52,14,0,0,3,0,0,0,0,4,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
53,5,0,1,5,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0
54,3,0,0,16,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,1,0
55,5,0,0,17,0,0,0,0,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
56,4,0,1,4,0,2,0,0,1,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,4,0,2,0,0
57,16,0,2,20,3,0,3,1,1,0,0,8,26,9,6,0,2,1,1,0,1,1,0,1,1,3,0,3,0,0
58,4,2,0,7,1,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,1,0
59,8,0,1,12,0,0,1,4,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0
60,5,0,0,7,0,1,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
61,13,0,2,7,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,2,1,0,0,0,0
62,8,0,2,13,1,0,1,0,0,0,0,0,9,8,9,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0
