1109,21214
1150,21602
1156,21143
1157,11785
1164,21132
1177,11828
1179,21227
1180,10791
1184,10924
1185,11961
1191,11927
1210,21337
1217,21201
1224,10849
1232,10741
1234,21163
1239,10779
1246,11681
1257,11596
1263,11759
1266,10802
1274,10712
1274,11627
1277,21144
1281,11742
1295,11798
1301,10618
1308,21109
1309,10807
1312,21187
1329,11629
1331,21118
1340,10703
1356,10788
1364,10699
1364,21167
1369,12000
1378,11501
1395,10725
1408,10656
1421,11969
1450,11441
1452,20917
1455,10630
1461,10658
1473,10694
1480,11518
1494,20950
1495,11696
1496,11712
1497,11951
1500,11842
1504,21126
1506,21061
1506,21087
1517,21169
1526,11466
1532,21290
1547,23919
1568,20907
1570,11470
1571,11794
1574,11688
1575,21000
1577,11629
1577,23898
1598,11398
1615,11930
1623,21096
1628,23842
1631,11968
1631,12270
1634,11791
1641,20810
1646,21024
1647,23322
1651,23830
1653,11845
1656,11587
1656,23326
1668,20917
1672,24084
1677,23823
1683,21067
1686,11437
1686,23159
1693,23180
1703,11368
1708,21001
1715,23648
1720,11955
1721,23454
1723,23674
1724,11785
1728,11723
1730,11613
1732,20774
1750,23569
1755,11522
1757,23433
1761,23492
1766,23457
1769,20960
1777,20893
1781,24049
1798,11585
1803,21211
1814,23553
1817,20758
1824,24105
1827,24125
1856,11673
1858,11814
1862,23464
1862,24105
1867,9774
1868,11618
1868,24116
1871,23963
1875,23905
1877,9772
1877,20822
1880,23993
1891,20726
1897,11393
1915,9735
1941,20676
1962,24221
1988,12116
1993,12055
2012,12105
2015,11405
2027,12065
2028,12191
2035,11114
2037,20771
2040,12061
2041,20653
2048,20935
2065,11870
2069,11471
2070,12422
2081,9677
2086,11117
2088,11541
2091,10487
2094,23702
2095,11243
2095,20486
2104,12443
2104,20510
2106,11146
2107,24102
2111,11282
2114,11147
2115,20866
2126,12622
2127,20610
2129,23923
2130,11999
2131,11506
2131,12161
2132,10411
2141,12077
2142,12316
2146,11122
2146,11683
2148,11195
2149,23843
2158,20434
2163,11689
2166,12473
2170,12520
2171,10675
2172,11175
2173,10256
2177,10365
2177,10590
2184,10405
2187,23784
2187,23805
2188,10307
2188,20735
2189,11668
2194,10593
2194,24470
2195,10296
2195,24323
2198,10715
2199,10746
2199,24180
2206,23869
2207,23410
2212,10615
2212,11990
2212,24217
2213,12341
2215,12621
2216,10563
2216,23701
2217,10496
2217,12477
2218,12230
2218,23402
2220,11138
2223,10289
2226,12607
2229,23404
2230,11326
2232,10849
2232,11517
2235,10333
2236,12140
2237,5846
2240,10567
2240,10756
2240,12437
2241,10196
2243,9691
2249,10299
2251,9375
2256,10454
2257,10406
2258,9569
2258,12017
2259,20383
2267,24024
2268,10717
2275,10109
2278,12127
2283,24231
2286,11121
2287,10736
2292,20773
2294,24290
2295,10787
2295,24020
2299,12212
2300,10669
2300,11475
2302,11233
2302,11650
2303,11038
2304,24533
2306,10732
2307,9513
2307,12668
2307,22390
2308,11544
2309,11735
2311,12431
2312,20758
2314,12011
2315,10245
2315,11528
2316,11389
2316,22613
2320,12203
2321,12530
2324,9426
2324,9593
2325,10355
2325,20633
2325,24534
2326,12267
2328,23997
2331,10594
2331,20203
2331,24106
2332,10437
2332,10554
2336,10878
2336,11683
2337,12546
2340,9673
2341,11083
2342,11902
2343,12116
2346,24299
2346,24316
2348,10146
2348,23313
2349,23289
2349,24175
2352,10076
2354,10653
2354,11229
2356,10501
2356,10629
2359,20589
2361,20438
2362,23805
2363,11535
2365,24186
2366,10829
2367,9419
2368,12111
2369,24431
2371,10142
2371,23471
2373,24519
2374,24338
2376,20636
2379,20876
2383,9475
2385,10121
2388,24559
2392,9712
2395,10605
2395,11524
2398,10077
2399,24455
2401,24219
2405,9862
2405,12482
2405,24271
2407,12424
2409,12213
2410,22749
2411,21884
2415,10510
2415,10532
2415,11920
2419,10627
2419,11435
2420,22695
2425,12152
2426,23488
2427,20731
2431,12408
2432,10069
2432,10762
2435,24064
2436,11760
2440,12584
2445,11130
2445,24491
2447,24017
2449,11194
2452,10878
2453,9778
2453,11215
2453,20404
2454,23247
2455,20725
2458,10066
2458,10727
2458,12362
2465,23268
2467,10653
2473,10340
2473,11128
2473,22791
2475,12087
2476,10717
2478,10959
2478,20510
2481,11642
2482,24067
2485,10644
2494,10773
2501,10610
2505,11180
2506,11630
2507,12034
2514,20713
2514,21735
2518,11412
2519,11737
2519,23316
2520,23292
2520,24050
2525,9701
2530,12277
2531,11211
2534,11269
2535,11507
2535,23931
2538,11383
2538,12593
2554,24058
2555,10700
2556,10281
2558,12480
2563,20257
2566,11244
2567,11563
2571,11380
2572,10243
2573,20374
2574,11091
2581,12315
2582,11328
2583,11365
2585,11743
2590,9830
2591,11637
2595,10687
2595,20602
2595,24413
2602,20686
2603,11563
2604,10225
2607,10198
2611,11643
2612,20568
2617,20631
2620,9616
2621,9438
2622,9909
2623,11549
2627,9954
2627,24063
2632,24071
2634,11647
2637,11248
2637,11585
2638,10086
2639,24155
2642,9401
2642,10190
2644,20202
2644,20407
2644,24397
2645,9824
2646,10082
2646,11434
2649,9340
2651,20611
2658,10044
2659,9065
2659,9831
2663,24374
2664,9120
2664,9545
2664,10095
2666,24414
2668,11608
2668,20440
2669,11203
2671,9692
2689,20146
2691,24158
2698,11329
2698,24173
2700,9644
2700,24355
2702,9846
2703,11501
2704,9444
2705,24249
2710,24415
2711,9362
2711,11731
2712,11213
2716,20191
2718,9290
2718,11540
2726,9317
2727,23157
2728,9612
2730,24226
2732,24452
2733,24400
2737,24297
2739,11389
2741,20685
2743,9122
2744,9698
2745,9057
2746,20292
2748,20228
2754,9418
2754,9603
2756,20611
2759,11187
2762,10063
2768,24347
2770,20702
2778,9228
2779,11380
2779,11553
2780,9770
2781,21461
2783,9857
2786,9187
2792,11550
2795,9862
2798,20920
2803,9878
2804,9926
2804,20898
2806,24378
2808,21448
2809,20138
2809,24202
2815,20386
2816,10096
2817,24283
2820,20158
2825,20746
2826,9931
2830,9830
2836,9014
2839,24351
2841,24448
2847,20083
2848,21066
2852,24189
2853,20339
2854,24018
2855,9385
2872,24555
2873,19839
2875,8855
2882,9546
2885,23004
2887,24164
2888,9126
2889,24147
2895,24408
2898,24128
2900,23981
2906,20997
2906,22519
2908,23010
2911,24000
2911,24116
2913,24333
2915,21493
2915,23935
2920,20416
2923,9163
2925,22524
2928,24419
2930,9446
2931,9523
2932,24008
2932,24067
2941,23891
2945,24066
2947,23875
2951,20590
2951,22525
2955,24423
2959,11662
2960,9612
2961,20182
2961,24374
2966,9357
2973,20175
2979,19925
2989,9492
2993,23927
3000,24068
3002,8734
3004,23831
3007,22617
3008,19754
3010,20691
3010,23568
3010,23749
3013,24389
3016,19729
3019,9202
3021,11725
3021,23670
3022,23605
3023,10843
3025,11791
3026,9456
